File,Macro Name,Purpose,Parameters,SAS Constructs Used,SAS Formats/Informats,External Macro Dependencies,Detected Macro Calls,Lines of Code,Migration Classification,Recommended Snowflake Replacement
@TEMPLATE.sas,@TEMPLATE,PURPOSE OF THE MACRO,None,None (pure macro logic),None,LIST ANY UTILITY MACROS CALLED BY THIS MACRO SO THEY CAN BE ADDED TO THE SASAUTOS LIBRARY AS WELL,parmv,119,(d) No longer needed in Snowflake,Template file for macro development; not functional code. No migration needed.
CreateTableOrView.sas,CreateTableOrView,"Create either a table (SAS data set) or view from either specified parameters, metadata data set, or shell data sets.",DATA; OUT; KEEP; DROP; BY; INDEX; WHERE; RENAME; META_COLUMNS; META_COLUMNS_COND; SHELL; LANG; TYPE; FILE; APPEND; RUN; PRE_PROCESS; POST_PROCESS,PROC SQL; PROC SORT; PROC CONTENTS; PROC DATASETS; DATA STEP; DATA _NULL_; FILENAME Statement; LIBNAME Statement; %INCLUDE,has.; is.,"parmv, seplist",count_words; dump_mvars; loop; parmv; seplist; splitvar; varexist,1542,(a) Direct Snowflake SQL equivalent,"Use Snowflake CREATE TABLE AS SELECT / CREATE VIEW AS SELECT with column lists, WHERE, ORDER BY, and RENAME. CTAS handles keep/drop/rename/where/sort natively."
IsNum.sas,IsNum,"Checks if alphanumeric (character) input is valid numeric data. Also sets additional flag variables for IsInt, IsFloat, IsNonNeg, IsPos, etc.",CHAR,DATA STEP,best32.,parmv,parmv,166,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF using TRY_TO_NUMBER/TRY_TO_DECIMAL. Returns boolean for numeric validation with optional int/float/positive checks.
IsNumD.sas,IsNumD,"Checks if alphanumeric (character) input is valid numeric data (data step). Also sets additional flag variables for IsInt, IsFloat, IsNonNeg, IsPos, etc.",CHAR,DATA STEP,best32.,parmv,IsNum; parmv,166,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF using TRY_TO_NUMBER/TRY_TO_DECIMAL for data-step-style numeric validation.
IsNumM.sas,IsNumM,"Checks if alphanumeric MACRO variable input (which is always character data) is valid numeric data. Optionally checks for IsInt, IsNonNeg, or IsPos.",CHAR; TYPE; MISSING,None (pure macro logic),best32.; is.; to.,parmv,parmv,277,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF using TRY_TO_NUMBER with TYPE parameter for num/int/nonneg/pos validation.
RunAll.sas,RunAll,"Runs SAS programs asynchronously and multi-threaded, honoring any job dependencies.",data,PROC SQL; PROC SORT; PROC FORMAT; PROC REPORT; PROC OPTSAVE; PROC OPTLOAD; DATA STEP; DATA _NULL_; SYSTASK; FILENAME Statement; %INCLUDE; ODS Output,for.; status_code.,None,None,304,(d) No longer needed in Snowflake,"SAS batch job orchestrator with multi-threading. Replace with Snowflake Tasks, dbt run, or Airflow DAGs for orchestration."
RunAll_ControlTable.sas,RunAll_ControlTable,"Runs SAS programs asynchronously and multi-threaded, honoring any job dependencies.",None,DATA STEP; %INCLUDE,for.,None,RunAll,161,(d) No longer needed in Snowflake,Control table driver for RunAll. Replace with dbt/Airflow orchestration using metadata tables.
age.sas,age,Determines a person's age in <units> based on a reference date,BEGDATE; ENDDATE; UNITS,DATA _NULL_,None,parmv,parmv,107,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF using DATEDIFF with floor logic for age calculation.
align_decimals.sas,align_decimals,"Aligns the decimal points of numeric or character variables, optionally adding additional bracketing characters (usually parentheses).",VAR; OUT; WIDTH; DECPOS; TYPE; PREFIX; SUFFIX; LC; RC,PROC REPORT; PROC PRINT; DATA STEP,best.,parmv,parmv,443,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF for decimal alignment formatting using TO_VARCHAR with format strings and LPAD/RPAD.
attrib.sas,attrib,Generate attrib statements from a template dataset,DATA; KEEP; DROP; SHOW,PROC FORMAT; DATA STEP; DATA _NULL_,$ffffffffffgggggggggghhhhhhhhhhx.; is.,parmv,parmv,295,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure to generate DDL (CREATE TABLE) from a template/metadata table using INFORMATION_SCHEMA.
